speaker,bigram,n,total,tf,idf,tf_idf
Democratic Party,lagov lalege,469,286658,0.009635732336202824,0.6931471805599453,0.006678980701469282
Democratic Party,nmgov nmleg,68,286658,0.0013970784623918806,0.6931471805599453,9.683809972279556e-4
Democratic Party,governor beshear,64,286658,0.0013148973763688287,0.6931471805599453,9.114174091557228e-4
Democratic Party,gov cooper,61,286658,0.0012532615618515398,0.6931471805599453,8.686947181015483e-4
Democratic Party,teamkentucky ab,53,286658,0.0010888993898054364,0.6931471805599453,7.54767541957083e-4
Democratic Party,news briefing,51,286658,0.0010478088467939103,0.6931471805599453,7.262857479209666e-4
Democratic Party,north carolina,37,286658,7.601750457132291e-4,0.6931471805599453,5.269131896681522e-4
Democratic Party,togetherky teamkentucky,34,286658,6.985392311959403e-4,0.6931471805599453,4.841904986139778e-4
Democratic Party,north carolinians,31,286658,6.369034166786514e-4,0.6931471805599453,4.4146780755980323e-4
Democratic Party,louisiana lagov,30,286658,6.163581451728885e-4,0.6931471805599453,4.272269105417451e-4
Republican Party,wv wvgov,113,243256,0.002775185421680829,0.6931471805599453,0.0019236119505691295
Republican Party,west virginia,60,243256,0.0014735497814234492,0.6931471805599453,0.0010213868764083875
Republican Party,inthistogetherohio stayhomeohio,53,243256,0.00130163564025738,0.6931471805599453,9.022250741607422e-4
Republican Party,south dakota,49,243256,0.0012033989881624833,0.6931471805599453,8.341326157335163e-4
Republican Party,president realdonaldtrump,39,243256,9.578073579252419e-4,0.6931471805599453,6.639014696654518e-4
Republican Party,granite staters,35,243256,8.595707058303453e-4,0.6931471805599453,5.958090112382259e-4
Republican Party,azbalanced budget,32,243256,7.858932167591729e-4,0.6931471805599453,5.447396674178066e-4
Republican Party,akleg akgov,31,243256,7.613340537354487e-4,0.6931471805599453,5.277165528110001e-4
Republican Party,south carolina,31,243256,7.613340537354487e-4,0.6931471805599453,5.277165528110001e-4
Republican Party,gov justice,30,243256,7.367748907117246e-4,0.6931471805599453,5.106934382041937e-4
