speaker,word,n,total,tf,idf,tf_idf
Democratic Party,lagov,519,286659,0.004269777543767277,0.6931471805599453,0.002959584266080456
Democratic Party,lalege,470,286659,0.003866657891272871,0.6931471805599453,0.002680163015525654
Democratic Party,teamkentucky,154,286659,0.0012669474792681322,0.6931471805599453,8.781810731722355e-4
Democratic Party,nmgov,138,286659,0.0011353165723311835,0.6931471805599453,7.86941481154341e-4
Democratic Party,mexicans,122,286659,0.0010036856653942345,0.6931471805599453,6.957018891364463e-4
Democratic Party,ab,111,286659,9.131894168750823e-4,0.6931471805599453,6.329746696241438e-4
Democratic Party,beshear,100,286659,8.2269316835593e-4,0.6931471805599453,5.702474501118413e-4
Democratic Party,wa,100,286659,8.2269316835593e-4,0.6931471805599453,5.702474501118413e-4
Democratic Party,nevada,99,286659,8.144662366723706e-4,0.6931471805599453,5.645449756107228e-4
Democratic Party,nmleg,91,286659,7.486507832038963e-4,0.6931471805599453,5.189251796017756e-4
Republican Party,arizona,335,243257,0.0032783355841308984,0.6931471805599453,0.0022723690670696734
Republican Party,missouri,296,243257,0.002896678605679839,0.6931471805599453,0.0020078246085152938
Republican Party,gapol,239,243257,0.002338872252559059,0.6931471805599453,0.0016211827075511998
Republican Party,wv,193,243257,0.0018887127395142192,0.6931471805599453,0.0013091559102819314
Republican Party,alpolitics,180,243257,0.0017614937466971991,0.6931471805599453,0.001220974424097138
Republican Party,thearizonaway,160,243257,0.0015657722192863994,0.6931471805599453,0.0010853105991974561
Republican Party,inthistogetherohio,156,243257,0.0015266279138042393,0.6931471805599453,0.0010581778342175197
Republican Party,wvgov,117,243257,0.0011449709353531796,0.6931471805599453,7.936333756631398e-4
Republican Party,hampshire,100,243257,9.786076370539997e-4,0.6931471805599453,6.783191244984101e-4
Republican Party,stayhomeohio,94,243257,9.198911788307596e-4,0.6931471805599453,6.376199770285055e-4
